"id"	"label"	"ontology"	"uri"	"description"
"iso-15189"	"ISO-15189"			
"iso-15189-2012"	"ISO 15189:2012"			"Medical laboratories – Requirements for quality and competence"
"iso-15190"	"ISO-15190"			
"iso-17025"	"ISO-17025"			
"iso-17034-2016"	"ISO 17034:2016"			"General requirements for the competence of reference material producers"
"iso-17043-2010"	"ISO 17043:2010"			"Conformity assessment – General requirements for proficiency testing"
"iso-9001"	"ISO-9001"			
"iso-fdis-20387"	"ISO/FDIS 20387"			"Biobanking – General requirements for Biobanking (soon published Q4/2018)"
"nfs96-900"	"NFS96-900"			
"oecd-guidelines"	"OECD Guidelines"			
"oeci_accreditation"	"OECI Accreditation"			"_"
"others"	"Others"			
